Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag
BoxBox,BoxBox teaches a Master Class on TFT unit swapping,https://www.youtube.com/watch?v=OEiDjVQKA7M,2022-03-24,35204,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,The Recombobulator augment turns my INSANE board into complete garbage,https://www.youtube.com/watch?v=0VUbVO7mBeY,2022-03-24,60882,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""25fps"" vcodec=""avc1.4d401e"" progressive=""False"" type=""video"">",25,135
BoxBox,This 2 star unit carried me for 20 straight wins (ft. 7 Innovators),https://www.youtube.com/watch?v=-zIIPw84P8I,2022-03-23,70810,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Maximum Debonair VIP Talon 3 has the ranged touch of death,https://www.youtube.com/watch?v=yOUxXGgimHQ,2022-03-22,80548,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,My Augments turn Kaisa into an immortal tank,https://www.youtube.com/watch?v=fZlXUBPCU5A,2022-03-21,84332,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Tiny Titans can enhance me from Mr.100 to Mr. 135,https://www.youtube.com/watch?v=0OBkNdxjNw4,2022-03-20,98371,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,VIP Draven 3 cannot lose... every axe is a one shot,https://www.youtube.com/watch?v=bJOecJDNqoM,2022-03-19,79401,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Backfoot and Phalanx makes the Seraphine sisters the perfect backline,https://www.youtube.com/watch?v=Pm-SZlCOvyI,2022-03-18,72036,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,This is why VIP Zeri is the best unit in TFT,https://www.youtube.com/watch?v=gK8jb8ZEdeU,2022-03-17,114137,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,This unit is the easiest 3 cost unit to 3 star and is ridiculously OP,https://www.youtube.com/watch?v=ED956YtrZrU,2022-03-16,93128,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
