Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag,Process
Hafu,REALLY CLOSE GAME - Innovators Are SO GOOD I Used 8 of Them,https://www.youtube.com/watch?v=F7LiEJ47nUc,2022-03-14,10640,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,In a FULL PANIC for this Huge Comeback | Hafu Challenger TFT,https://www.youtube.com/watch?v=X3dGIUXJIp8,2022-03-12,11071,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,FINALLY a Good Spot for Level Up | Hafu Challenger TFT,https://www.youtube.com/watch?v=87vkcANbSVI,2022-03-11,15486,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,5 Enchanter Ashe Reroll - Are Enchanter's Really Good Right Now? | Hafu Challenger TFT,https://www.youtube.com/watch?v=9GobFwwPanA,2022-03-10,14514,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,Very VIP + Target Dummies + Draven = Challenger Hafu,https://www.youtube.com/watch?v=lBxHqFlREYg,2022-03-09,9697,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,Is Khazix 3 Even Good?!,https://www.youtube.com/watch?v=4J1tjX49rDM,2022-03-08,11687,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,Best in Slot Clockwork Draven Isn't Fair | Hafu TFT Challenger,https://www.youtube.com/watch?v=a9CjkihXZ0o,2022-03-07,13523,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,I TOOK THE EGG AND IT'S BROKEN | Hafu TFT,https://www.youtube.com/watch?v=OV9iSGP5o-E,2022-03-05,33674,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess', 'tft egg']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Hafu,I Don't Understand TFT - HOW WAS THIS GOOD?...Khazix?? | Hafu TFT,https://www.youtube.com/watch?v=lcgigI4SZgU,2022-03-04,11514,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
Hafu,The Blue Battery Meditation Combo Gives SO MUCH Mana - Really Fun Game,https://www.youtube.com/watch?v=jVMXjige5GE,2022-03-03,17864,,"['itshafu', 'hafu', 'teamfight tactics', 'teamfight', 'tactics', 'hafu tft', 'tft', 'hafu teamfight tactics', 'legendary minions', 'auto battler', 'hafu auto battler', 'autobattler', 'auto chess']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
