Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag,Process
K3soju,SHARPSHOOTER 4 TWINSHOT 3 STAR CARRIES DO CRAZY BOUNCING DAMAGE!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=en0DVzTBLZo,2022-03-23,47782,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft lucian', 'tft gangplank', 'tft sharpshooter', 'tft twinshot', 'lucian 3']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,3 STAR ASHE SNIPES DOWN ENTIRE ENEMY TEAM WITH PER HEX DMG BUFF!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=_NeWGMaApRA,2022-03-22,51391,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft ashe', 'tft ashe 3', 'set 6.5 ashe', '3 star ashe', 'tft sniper']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,3 STAR SIVIR WITH INFINITE ATK SPD RICOCHET AUTOS!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=dT9WEExI0J4,2022-03-21,49883,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft sivir', 'tft striker', 'tft hextech', 'tft sivir 3', '3 star sivir']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,TFT SET 6.5 CHALLENGER SERIES DAY 2: TWITCH CARRY BACKLINE ATTACK!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=zPUaaB4T0NU,2022-03-19,48404,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft twitch', '3 star twitch', 'tft tourney', 'tft tournament', 'tft twitch 3']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,TFT SET 6.5 CHALLENGER SERIES DAY 2: TRIPLE AD CARRY THREAT!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=yfShSvUFcOQ,2022-03-18,49787,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft jhin', 'tft zeri', 'tft draven', 'tft tourney', 'tft tournament']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,TFT SET 6.5 CHALLENGER SERIES DAY 1: SIVIR AUTOS ENTIRE BOARD!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=YadC_E4OaS0,2022-03-17,47239,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft tourney', 'tft tournament', 'tft sivir', 'tft alistar', 'tft hextech']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,TFT SET 6.5 CHALLENGER SERIES DAY 1: 5 INNOVATORS ARE OP!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=MLJgce5o0BE,2022-03-16,56084,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft tourney', 'tft tournament', 'tft innovator', 'tft ezreal', 'tft singed']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,TFT SET 6.5 CHALLENGER SERIES DAY 1: DRAVEN ZERI DEBONAIR COMBO!! | Teamfight Tactics Patch 12.5B,https://www.youtube.com/watch?v=nrQsbmU2AnU,2022-03-15,62737,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft draven', 'tft zeri', 'tft debonair', 'tft tourney', 'tft tournament']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,3 STAR BRAND VIP CARRY IS BACK WITH INFINITE FIREBALL ULTS!! | Teamfight Tactics Patch 12.5,https://www.youtube.com/watch?v=32bP0ZBj-o0,2022-03-14,67285,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft brand', 'set 6.5 brand', 'tft brand 3', '3 star brand', 'tft debonair']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,RADIANT STATIKK SHIV ZERI CARRY SHOCKS ENTIRE ENEMY BOARD!! | Teamfight Tactics Patch 12.5,https://www.youtube.com/watch?v=w0QnVfFMLL4,2022-03-12,71209,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6.5', 'set 6.5', 'tft season 6.5', 'tft set 6.5 guides', 'tft set 6.5 tierlist', 'teamfight tactics set 6.5', 'tft tips and tricks', 'tft set 6.5 meta', 'tft neon nights', 'tft radiant item', 'tft zeri', 'set 6.5 zeri', 'tft statikk shiv', 'zeri']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
