Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag,Process
Milk,THIS DRAVEN BUILD IS INCREDIBLY BROKEN!! FT. K3soju Becca Rayditz Kiyoon | Milk TFT,https://www.youtube.com/watch?v=8LISSV2Cvpo,2022-03-22,5929,,"['tft draven carry', 'draven items tft', 'vip draven tft', 'clockwork tft', 'bis items tft', 'deliciousmilkgg tft', 'teamfight tactics', 'tft', 'milk tft', 'k3soju tft', 'soju tft', 'rayditz tft', 'becca tft', 'becca milk', 'tft set 6.5', 'tft draven set 6.5', 'tft draven item']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,WARWICK REROLL IS INSANE!! ATK SPEED SHREDDER BUILD Ft. K3soju Rayditz | Milk TFT,https://www.youtube.com/watch?v=kwWNphCDqzw,2022-03-19,6669,,"['tft best comps', 'tft reroll warwick', 'tft reroll comps', 'tft meta comps', 'tft rank 1', 'deliciousmilkgg tft', 'teamfight tactics', 'tft', 'tft new champions', 'tft new augments', 'tft fun comps', 'tft warwick carry', 'tft warwick reroll', 'tft warwick items', 'set 6.5', 'tft beginners guide', 'tft guide', 'tft milk', 'tft milk guy', 'tft rayditz', 'tft k3soju']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,THIS JEWELED LOTUS AHRI 3 BUILD DEALS INFINITE AP DMG!! Ft. Hafu Teamfight Tactics | Milk,https://www.youtube.com/watch?v=C3Zac9kS00A,2022-03-14,8573,,"['3 star ahri', 'tft ahri 3 star', 'ahri 3 tft', 'ahri carry tft', 'ahri comp tft 6.5', 'tft ahri items 6.5', 'tft op comp', 'tft best comps', 'tft jeweled lotus', 'jeweled lotus tft', 'ahri build tft', 'deliciousmilkgg tft', 'tft hafu', 'hafu', 'milk tft', 'tft', 'teamfight tactics', '3 star ahri tft', 'tft 3 star ahri', 'set 6 tft', 'set 6.5 tft', 'ap comp tft', 'rank 1 tft na']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,8 HEXTECH ALISTAR 3 SHAKES THE ENTIRE LOBBY WITH HIS ULT!! - Teamfight Tactics Set 6.5 | Milk,https://www.youtube.com/watch?v=8cQs2bwgFgo,2022-03-12,6059,,"['3 star alistar', 'tft alistar', 'tft hextech comp', 'tft 8 hextech', 'tft alistar build', 'tft sivir 6.5', 'tft sivir 3', 'alistar 3', 'deliciousmilkgg tft', 'tft milk', 'tft frodan', 'teamfight tactics', 'tft', 'tft set 6.5', 'tft rank 1', 'tft gameplay', 'tft best comps', 'tft 6.5', 'tft 3 star alistar', '3 star alistar tft', 'tft set 6']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,I Hit Silco 3 and It Killed My Entire Team!! FT. K3soju | Milk TFT,https://www.youtube.com/watch?v=1eca96ofqx8,2022-03-10,15732,,"['3 star silco', 'silco tft', 'silco 3', 'deliciousmilkgg tft', 'silco 3 star', 'tft mastermind', 'tft 3 star silco', 'tft silco 3 star', 'k3soju', 'k3soju set 6.5', 'tft milk', 'milk tft mortdog', 'teamfight tactics', 'tft', '3 star silco tft', 'tft set 6.5', 'patch 12.5', 'tft legendary 3 star']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,THIS SENNA REROLL COMP IS ALL YOU NEED TO CLIMB!! FT. K3soju - Teamfight Tactics Set 6.5 | Milk,https://www.youtube.com/watch?v=1-9520bG4kE,2022-03-08,9244,,"['tft senna', 'tft reroll senna', 'tft reroll comps', 'tft meta comps', 'tft rank 1', 'deliciousmilkgg tft', 'teamfight tactics', 'tft', 'tft new champions', 'tft new augments', 'tft fun comps', 'tft senna carry', 'tft 3 star senna', 'tft senna items', 'set 6.5', 'tft milk', 'tft milk guy', 'tft k3soju', 'tft pgod', 'tft hafu', 'tft tri force', 'TEAMFIGHT TACTICS BUILDS', 'best tft comps right now', 'tft comps to climb', 'how to climb in tft', 'tft climb']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,TALON REROLL WITH IRRESISTIBLE CHARM IS INSANE!! FT. Rayditz Hafu Pgod SET 6.5 | Milk TFT,https://www.youtube.com/watch?v=BvI6zYMOLW4,2022-03-06,15171,,"['tft talon carry', 'tft talon reroll', 'tft talon items', 'tft talon vip', 'tft augments', 'deliciousmilkgg tft', 'tft milk', 'tft prismatic', 'tft 6.5', 'tft 6.5 set', 'tft debonair', 'tft talon', 'tft new set', 'tft new champions', 'tft new augments', 'tft milk guy', 'rank 1 player tft', 'teamfight tactics', 'tft', 'tft guide', 'tft set 6', 'tft 3 star', 'tft best comps', 'tft reroll comp', 'tft rayditz', 'tft hafu', 'tft pgod', 'talon reroll']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,7 MUTANT KHA'ZIX CARRY! Slices Through Entire Enemy Team FT. K3soju Teamfight Tactics Set 6.5 | Milk,https://www.youtube.com/watch?v=ag1vrHcWEg0,2022-03-04,9111,,"['7 mutants tft', ""kha'zix carry tft"", ""tft kha'zix 6.5"", ""tft kha'zix best items"", '7 mutant comp', 'deliciousmilkgg tft', 'tft meta comps', 'tft rank 1', 'teamfight tactics', 'tft', 'tft new champions', 'tft new augments', 'tft fun comps', 'tft khazix carry', 'tft khazix items', 'set 6.5', 'tft beginners guide', 'tft guide', 'tft milk', 'tft milk guy', 'tft rayditz', 'tft k3soju', 'tft pgod', 'tft ramblinnn']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,CHEMTECH UNITY/OVERLOAD COMP!! Most Broken Augment Combo - Teamfight Tactics Set 6.5 | Milk TFT,https://www.youtube.com/watch?v=GGx_c5N0XIA,2022-03-01,10459,,"['tft new augments', 'tft milk', 'tft milk guy', 'rank 1 player tft', 'teamfight tactics', 'tft', 'tft guide', 'tft set 6', 'tft renata', 'tft 3 star', 'tft augments', 'tft chemtech', 'tft chemtech overload', 'tft chemtech unity', 'tft combo', 'deliciousmilkgg tft', 'milk guy', 'tft milk soju', 'tft set 6.5', 'tft broken comps', 'tft broken']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
Milk,SENNA REROLL IS TOO BROKEN!! Deletes the Entire Enemy Team in One ULT - Teamfight Tactics | Milk TFT,https://www.youtube.com/watch?v=cKs5HjzUUYo,2022-02-27,27643,,"['tft senna', 'tft reroll senna', 'tft reroll comps', 'tft meta comps', 'tft rank 1', 'deliciousmilkgg tft', 'teamfight tactics', 'tft', 'tft new champions', 'tft new augments', 'tft fun comps', 'tft senna carry', 'tft 3 star senna', 'tft senna items', 'set 6.5', 'tft beginners guide', 'tft guide', 'tft milk', 'tft milk guy', 'tft rayditz', 'tft k3soju', 'tft becca', 'tft pgod', '3 star senna', 'tft march of progress']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
